model,game_minutes,auc
Ensemble Classifier,15,0.7908498360800993
Logistic Regression,15,0.786438950912635
Support Vector Machine (RBF Kernel),15,0.7847191487240829
Decission Tree,15,0.6212463450292398
Adaboost,15,0.7856595007088428
Random Forest,15,0.7705082901382242
Gradient Boosting Classifier,15,0.7862040913521178
KNN,15,0.6680663543328016
Gaussian NB,15,0.5504524410774411
Ensemble Classifier,0,0.6097958754208754
Logistic Regression,0,0.6071958621300729
Support Vector Machine (RBF Kernel),0,0.6007078183147262
Decission Tree,0,0.523340587896509
Adaboost,0,0.6124083488392699
Random Forest,0,0.5954562344940635
Gradient Boosting Classifier,0,0.6018990342016659
KNN,0,0.5134043283714336
Gaussian NB,0,0.5946111332624491
Ensemble Classifier,10,0.7113985247208932
Logistic Regression,10,0.7048140395179868
Support Vector Machine (RBF Kernel),10,0.7002208488392699
Decission Tree,10,0.5631312023746236
Adaboost,10,0.7091958510544036
Random Forest,10,0.6973545764664186
Gradient Boosting Classifier,10,0.709202828725855
KNN,10,0.6070491095162147
Gaussian NB,10,0.6780939881268828
Ensemble Classifier,30,0.9343606793063168
Logistic Regression,30,0.9321667115943332
Support Vector Machine (RBF Kernel),30,0.9335554257645191
Decission Tree,30,0.7577614790187798
Adaboost,30,0.9114850091352922
Random Forest,30,0.9267516548357144
Gradient Boosting Classifier,30,0.9305692335340102
KNN,30,0.8534272321562285
Gaussian NB,30,0.8890698475454518
Ensemble Classifier,25,0.9024481318117109
Logistic Regression,25,0.9022614296716378
Support Vector Machine (RBF Kernel),25,0.9033640058277741
Decission Tree,25,0.7126399349209683
Adaboost,25,0.8882721050332895
Random Forest,25,0.8947194633647058
Gradient Boosting Classifier,25,0.8962916954221302
KNN,25,0.8145814371397232
Gaussian NB,25,0.8835778797971612
Ensemble Classifier,20,0.8667224080267558
Logistic Regression,20,0.8654738015607581
Support Vector Machine (RBF Kernel),20,0.8661124860646601
Decission Tree,20,0.6754218506131551
Adaboost,20,0.8548481047937573
Random Forest,20,0.8531069676700112
Gradient Boosting Classifier,20,0.8612040691192867
KNN,20,0.7767642140468227
Gaussian NB,20,0.8353344481605351
